searchedName,canonicalName,scientificName,rank,usageKey,match_confidence,matchType
 Pteridium aquilinum,Pteridium aquilinum,Pteridium aquilinum (L.) Kuhn,SPECIES,5275012,100,EXACT
 Morus alba,Morus alba,Morus alba L.,SPECIES,5361889,99,EXACT
 Rubus odoratus,Rubus odoratus,Rubus odoratus L.,SPECIES,2994912,100,EXACT
 Athyrium filix-femina,Athyrium filix-femina,Athyrium filix-femina (L.) Roth,SPECIES,5275044,99,EXACT
Rubus phoenicolasius,Rubus phoenicolasius,Rubus phoenicolasius Maxim.,SPECIES,2995149,100,EXACT
Rubus bilis,Rubus bollei,Rubus bollei Focke,SPECIES,2996157,94,FUZZY
 Coryphantha missouriensis,Coryphantha missouriensis,Coryphantha missouriensis (Sweet) Britton & Rose,SPECIES,6382387,100,EXACT
 Rubus chamaemorus,Rubus chamaemorus,Rubus chamaemorus L.,SPECIES,2998290,99,EXACT
 Rubus arcticus,Rubus arcticus,Rubus arcticus L.,SPECIES,2992051,99,EXACT
 Rubus occidentalis,Rubus occidentalis,Rubus occidentalis L.,SPECIES,2991466,99,EXACT
 Abies balsamea,Abies balsamea,Abies balsamea (L.) Mill.,SPECIES,2685383,100,EXACT
 Rubus dewberry,Rubus deweveri,Rubus deweveri A.Beek,SPECIES,2999825,95,FUZZY
 Batis maritima,Batis maritima,Batis maritima L.,SPECIES,5414196,100,EXACT
 Rubus pubescens,Rubus pubescens,Rubus pubescens Raf.,SPECIES,2989228,99,EXACT
 Juniperus communis,Juniperus communis,Juniperus communis L.,SPECIES,2684709,99,EXACT
Picea engelamanii,Picea engelmannii,Picea engelmannii Parry ex Engelm.,SPECIES,5284917,95,FUZZY
 Juglans cinerea,Juglans cinerea,Juglans cinerea L.,SPECIES,3054352,100,EXACT
 Tsuga canadensis,Tsuga canadensis,Tsuga canadensis (L.) Carrière,SPECIES,2687182,100,EXACT
 Empetrum nigrum,Empetrum nigrum,Empetrum nigrum L.,SPECIES,8925249,100,EXACT
 Juglans nigra,Juglans nigra,Juglans nigra L.,SPECIES,3054357,99,EXACT
 Castanea dentata,Castanea dentata,Castanea dentata (Marshall) Borkh.,SPECIES,5333230,99,EXACT
Rosa rugosa,Rosa rugosa,Rosa rugosa Thunb.,SPECIES,3003979,99,EXACT
 Corylus betulaceae,Corylus,Corylus L.,GENUS,2875967,96,HIGHERRANK
Quercus,Quercus,Quercus L.,GENUS,2877951,80,EXACT
 Fagus grandifolia,Fagus grandifolia,Fagus grandifolia Ehrh.,SPECIES,2882274,100,EXACT
 Castanea pumila,Castanea pumila,Castanea pumila (L.) Mill.,SPECIES,5333212,99,EXACT
 Citrus trifoliata,Citrus trifoliata,Citrus trifoliata L.,SPECIES,3190129,99,EXACT
 Diospyros texanum,Diospyros texana,Diospyros texana Scheele,SPECIES,3032981,98,FUZZY
 Nyssa ogeche,Nyssa ogeche,Nyssa ogeche W.Bartram ex Marshall,SPECIES,5383722,99,EXACT
Malus domestica,Malus domestica,Malus domestica (Suckow) Borkh.,SPECIES,3001244,99,EXACT
 Diospyros virginiana,Diospyros virginiana,Diospyros virginiana L.,SPECIES,3032986,100,EXACT
Malus,Malus,Malus Mill.,GENUS,3001068,80,EXACT
 Aralia spinosa,Aralia spinosa,Aralia spinosa L.,SPECIES,3036972,100,EXACT
 Prunus serotina,Prunus serotina,Prunus serotina Ehrh.,SPECIES,3021850,99,EXACT
 Prunus avium,Prunus avium,Prunus avium (L.) L.,SPECIES,3020791,99,EXACT
 Prunus pensylvanica,Prunus pensylvanica,Prunus pensylvanica L.fil.,SPECIES,8202030,100,EXACT
 Elaeagnus angustifolia,Elaeagnus angustifolia,Elaeagnus angustifolia L.,SPECIES,3039269,99,EXACT
 Sassafras albidum,Sassafras albidum,Sassafras albidum (Nutt.) Nees,SPECIES,3034002,100,EXACT
 Cornus mas,Cornus mas,Cornus mas L.,SPECIES,3082263,100,EXACT
Amelanchier,Amelanchier,Amelanchier Medik.,GENUS,3023817,80,EXACT
 Sideroxylon tanuginosum,Sideroxylon,Sideroxylon L.,GENUS,2886817,96,HIGHERRANK
 Gymnocladus dioicus,Gymnocladus dioicus,Gymnocladus dioicus (L.) K.Koch,SPECIES,2944215,100,EXACT
 Cercis canadensis,Cercis canadensis,Cercis canadensis L.,SPECIES,5353583,99,EXACT
 Gleditsia triacanthos,Gleditsia triacanthos,Gleditsia triacanthos L.,SPECIES,2959443,100,EXACT
 Prosopis glandulosa,Prosopis glandulosa,Prosopis glandulosa Torr.,SPECIES,5358457,100,EXACT
Abies balsamea,Abies balsamea,Abies balsamea (L.) Mill.,SPECIES,2685383,100,EXACT
 Populus tremuloides,Populus tremuloides,Populus tremuloides Michx.,SPECIES,3040215,99,EXACT
Betula,Betula,Betula L.,GENUS,2875008,80,EXACT
 Acer sapindaceae,Acer,Acer L.,GENUS,3189834,95,HIGHERRANK
 Mitchella repens,Mitchella repens,Mitchella repens L.,SPECIES,5338762,100,EXACT
 Gaultheria procumbens,Gaultheria procumbens,Gaultheria procumbens L.,SPECIES,2882753,100,EXACT
 Arctous rubra,Arctous rubra,Arctous rubra (Rehder & E.H.Wilson) Nakai,SPECIES,2882597,100,EXACT
 Arctostaphylos uva-ursi,Arctostaphylos uva-ursi,Arctostaphylos uva-ursi (L.) Spreng.,SPECIES,2882580,100,EXACT
 Sambucus racemosa,Sambucus racemosa,Sambucus racemosa L.,SPECIES,2888723,99,EXACT
 Shepherdia argentea,Shepherdia argentea,Shepherdia argentea (Pursh) Nutt.,SPECIES,5372429,99,EXACT
 Shepherdia canadensis,Shepherdia canadensis,Shepherdia canadensis (L.) Nutt.,SPECIES,5372427,100,EXACT
 Elaeagnus umbellata,Elaeagnus umbellata,Elaeagnus umbellata Thunb.,SPECIES,3039267,99,EXACT
 Viburnum edule,Viburnum edule,Viburnum edule (Michx.) Raf.,SPECIES,2888613,100,EXACT
 Mahonia trifoliata,Berberidaceae,Berberidaceae,FAMILY,6673,99,HIGHERRANK
 Lycium carolinianum,Lycium carolinianum,Lycium carolinianum Walter,SPECIES,2928830,100,EXACT
 Ribes glandulosum,Ribes glandulosum,Ribes glandulosum Grauer,SPECIES,2986208,99,EXACT
 Ribes triste,Ribes triste,Ribes triste Pall.,SPECIES,2986159,99,EXACT
ilex vomitoria,Ilex vomitoria,Ilex vomitoria Aiton,SPECIES,5414250,100,EXACT
 Vaccinium stamineum,Vaccinium stamineum,Vaccinium stamineum L.,SPECIES,2882913,100,EXACT
 Cornus stolonifera,Cornus stolonifera,Cornus stolonifera Michx.,SPECIES,6427418,100,EXACT
